Plan,City,State,Zip code entered,County,ISP,Network technology,Municipal network,Download speed (Mbps),Upload speed (Mbps),Data cap (GB),Data overage penalty per 50GB,Price without promotions,Promotional price,Monthly Fee,Term of promo discount (months),Autopay and/or paperless billing discount,Activation fee,Installation fee,Self-install fee (if available),Router rental (monthly),Modem rental (monthly),Wi-Fi router purchase cost,Modem purchase cost,Length requirement (months),Termination fee,Address used,Gross Monthly Cost
"Seattle, Xfinity, 15A",Seattle, WA,98109,King,Comcast,Cable,No,15,2,1000,10,,29.99,29.99,12,,,89.99,14.99,,13,,,12,,100 Taylor Ave,50.48916667
"Seattle, Xfinity, 15B",Seattle, WA,98109,King,Comcast,Cable,No,15,2,1000,10,,39.99,39.99,12,,,89.99,14.99,,13,,,1,,100 Taylor Ave,60.48916667
"Seattle, Xfinity, 60A",Seattle, WA,98109,King,Comcast,Cable,No,60,5,1000,10,,29.99,29.99,12,,,89.99,14.99,,13,,,12,,102 Taylor Ave,50.48916667
"Seattle, Xfinity, 60B",Seattle, WA,98109,King,Comcast,Cable,No,60,5,1000,10,,49.99,49.99,12,,,89.99,0,,13,,,1,,103 Taylor Ave,70.48916667
"Washington, Fios, 100",Washington, DC,20009,District Of Columbia,Verizon,Fiber,No,100,100,,,104.99,49.99,104.99,12,10,,39,,12,0,,199.99,1,350,1737 Q St NW,120.24
"Washington, Fios, 100",Washington, DC,20009,District Of Columbia,Verizon,Fiber,No,100,100,,,104.99,57.49,104.99,24,10,,39,,12,0,,199.99,1,350,1737 Q St NW,120.24
"Washington, RCN, 10",Washington, DC,20017,District Of Columbia,Radiate Holdings,Cable,No,10,4,,,,19.99,19.99,12,,9.99,49.95,,Included in modem fee,10,,,1,,1350 Jackson St NE,34.985
"Washington, RCN, 155",Washington, DC,20017,District Of Columbia,Radiate Holdings,Cable,No,155,15,,,,29.99,29.99,12,,9.99,49.95,,Included in modem fee,10,,,1,,1350 Jackson St NE,44.985
"Washington, Xfinity, 15",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,15,2,,,,49.95,49.95,,,,29.99,14.99,,13,,,1,,1350 Jackson St NE,65.44916667
"Washington, Xfinity, 150",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,150,5,,,,39.99,39.99,12,,,29.99,14.99,,13,,,1,,1350 Jackson St NE,55.48916667
"Washington, Xfinity, 60",Washington, DC,20017,District Of Columbia,Comcast,Cable,No,60,5,,,,29.99,29.99,12,,,29.99,14.99,,13,,,1,,1350 Jackson St NE,45.48916667
"Wilson, CenturyLink, 20",Wilson, NC,27893,Wilson,CenturyLink,ADSL,No,20,,,,50,,50,,,,125,,5,15,,150,1,,Not applicable,80.41666667
"Wilson, Greenlight 100",Wilson, NC,,Wilson,Greenlight,Fiber,Yes,100,100,,,79.95,,79.95,,,,,,,,,,,,Not applicable,79.95
"Wilson, Greenlight, 50",Wilson, NC,,Wilson,Greenlight,Fiber,Yes,50,50,,,39.95,,39.95,,,,,,,,,,,,Not applicable,39.95
"Wilson, Greenlight, 75",Wilson, NC,,Wilson,Greenlight,Fiber,Yes,75,75,,,59.95,,59.95,,,,,,,,,,,,Not applicable,59.95
"Wilson, Spectrum, 200",Wilson, NC,27893,Wilson,Charter,Cable,No,200,10,,,,44.99,44.99,,,,49.99,9.99,5,0,,,1,,311 Pender St SE,54.15583333
