Geography,2020_Year_Wage,2019_Year_Wage,2018_Year_Wage
"Branch County, Michigan",40196.0,39468.0,41976.0
"Brantley County, Georgia",35412.0,31932.0,29460.0
"Braxton County, West Virginia",36920.0,32916.0,42948.0
"Brazoria County, Texas",64584.0,54252.0,42804.0
"Brazos County, Texas",41392.0,39252.0,49800.0
"Breathitt County, Kentucky",30888.0,31896.0,33096.0
"Breckinridge County, Kentucky",35880.0,31704.0,31620.0
"Bremer County, Iowa",43160.0,39096.0,38520.0
"Brevard County, Florida",53664.0,47760.0,37032.0
"Brewster County, Texas",34840.0,37524.0,37836.0
"Briscoe County, Texas",30576.0,29460.0,36708.0
"Bristol Bay Borough, Alaska",53716.0,51324.0,50328.0
"Bristol City, Virginia",35412.0,32964.0,62328.0
"Bristol County, Massachusetts",51740.0,48576.0,43632.0
"Bristol County, Rhode Island",42848.0,40884.0,46428.0
"Broadwater County, Montana",35048.0,34044.0,32820.0
"Bronx County, New York",51844.0,53892.0,40356.0
"Brooke County, West Virginia",43628.0,39744.0,33732.0
"Brookings County, South Dakota",46020.0,41364.0,34188.0
"Brooks County, Georgia",38012.0,34308.0,31860.0
"Brooks County, Texas",33228.0,39900.0,31368.0
"Broome County, New York",46956.0,43188.0,49428.0
"Broomfield County, Colorado",114816.0,84192.0,77532.0
"Broward County, Florida",57980.0,50412.0,47100.0
"Brown County, Illinois",54184.0,47136.0,43416.0
"Brown County, Indiana",26624.0,25764.0,36804.0
"Brown County, Kansas",42484.0,37692.0,32508.0
"Brown County, Minnesota",42588.0,40104.0,39624.0
"Brown County, Nebraska",32032.0,33408.0,28404.0
"Brown County, Ohio",31772.0,31812.0,37020.0
"Brown County, South Dakota",45344.0,40824.0,40032.0
"Brown County, Texas",38428.0,35772.0,39156.0
"Brown County, Wisconsin",53976.0,47520.0,35928.0
"Brule County, South Dakota",34476.0,32268.0,37200.0
"Brunswick County, North Carolina",42588.0,37476.0,33576.0
"Brunswick County, Virginia",35204.0,33984.0,37056.0
"Bryan County, Georgia",34008.0,34080.0,32484.0
"Bryan County, Oklahoma",39208.0,36684.0,37944.0
"Buchanan County, Iowa",38636.0,36372.0,36132.0
"Buchanan County, Missouri",47528.0,42588.0,41016.0
"Buchanan County, Virginia",54080.0,46344.0,34500.0
"Buckingham County, Virginia",38064.0,35700.0,39960.0
"Bucks County, Pennsylvania",53716.0,48948.0,44676.0
"Buena Vista City, Virginia",35828.0,31884.0,32100.0
"Buena Vista County, Iowa",42588.0,39600.0,37836.0
"Buffalo County, Nebraska",41340.0,38028.0,33372.0
"Buffalo County, South Dakota",35204.0,38352.0,31380.0
"Buffalo County, Wisconsin",41288.0,36780.0,42828.0
"Bullitt County, Kentucky",40664.0,37932.0,32292.0
"Bulloch County, Georgia",33956.0,33180.0,33684.0
"Bullock County, Alabama",36608.0,34440.0,32388.0
"Buncombe County, North Carolina",44044.0,41388.0,36732.0
"Bureau County, Illinois",43368.0,38352.0,41436.0
"Burke County, Georgia",114036.0,84000.0,45876.0
"Burke County, North Carolina",35984.0,35172.0,38604.0
"Burke County, North Dakota",54756.0,52176.0,42444.0
"Burleigh County, North Dakota",53768.0,48528.0,49824.0
"Burleson County, Texas",53976.0,44040.0,36300.0
"Burlington County, New Jersey",63492.0,54396.0,58356.0
"Burnet County, Texas",44460.0,40476.0,41604.0
"Burnett County, Wisconsin",35516.0,32208.0,32940.0
"Burt County, Nebraska",36452.0,33792.0,36024.0
"Butler County, Alabama",35620.0,32616.0,32136.0
"Butler County, Iowa",38480.0,34572.0,35028.0
"Butler County, Kansas",42172.0,36852.0,36228.0
"Butler County, Kentucky",36244.0,33972.0,35868.0
"Butler County, Missouri",33592.0,32472.0,38592.0
"Butler County, Nebraska",45552.0,37836.0,35208.0
"Butler County, Ohio",54704.0,46560.0,36756.0
"Butler County, Pennsylvania",53924.0,49008.0,47532.0
"Butte County, California",42848.0,41580.0,39480.0
"Butte County, Idaho",95576.0,87624.0,46740.0
